Title
Rank,School,Score,Expeditures,Income  
45,South Windsor School District,9.83,"$19,151 ","$119,972 "
46,Scotland School District,10.21,"$26,783 ","$88,077 "
47,Hamden School District,10.32,"$24,375 ","$78,602 "
48,Tolland School District,10.85,"$19,761 ","$118,367 "
49,Regional School District 06,11.06,"$23,101 ","$104,458 "
50,Westbrook School District,11.07,"$30,312 ","$73,988 "
51,Portland School District,11.49,"$19,579 ","$97,754 "
52,East Hampton School District,11.59,"$20,050 ","$95,663 "
53,Regional School District 10,12.39,"$19,120 ","$122,558 "
54,Regional School District 08,12.53,"$21,015 ","$114,677 "
55,Branford School District,13.09,"$23,305 ","$80,471 "
56,Windsor Locks School District,13.54,"$25,185 ","$72,090 "
57,Stafford School District,14.12,"$22,581 ","$82,546 "
58,Bolton School District,14.58,"$21,966 ","$112,622 "
59,New Fairfield School District,14.67,"$21,522 ","$114,583 "
60,Southington School District,15.01,"$17,989 ","$101,098 "
61,East Granby School District,15.28,"$23,320 ","$107,566 "
62,Regional School District 11,15.33,"$29,369 ","$82,057 "
63,Shelton School District,15.45,"$18,417 ","$98,873 "
64,Winchester School District,15.57,"$26,668 ","$63,882 "
65,Bozrah School District,16.31,"$27,276 ","$91,838 "
66,Cheshire School District,16.38,"$20,043 ","$122,477 "
67,Coventry School District,16.96,"$19,316 ","$93,619 "
68,Andover School District,17.06,"$25,646 ","$99,449 "
69,Regional School District 01,17.24,"$31,025 ","$76,887 "
70,North Canaan School District,17.3,"$26,435 ","$63,214 "
71,Wolcott School District,17.43,"$18,643 ","$96,014 "
72,Canton School District,17.63,"$20,053 ","$89,863 "
73,Pomfret School District,17.65,"$19,594 ","$91,788 "
74,Columbia School District,18.04,"$24,574 ","$104,911 "
75,Wethersfield School District,18.27,"$19,667 ","$90,881 "
76,Wallingford School District,18.49,"$21,471 ","$83,054 "
77,Canterbury School District,18.68,"$20,687 ","$86,178 "
78,Bethel School District,18.91,"$18,555 ","$94,973 "
79,Essex School District,18.92,"$25,406 ","$102,243 "
80,Kent School District,19.7,"$31,473 ","$77,344 "
81,Manchester School District,19.74,"$23,266 ","$74,270 "
82,Glastonbury School District,19.77,"$21,254 ","$120,605 "
83,Monroe School District,19.87,"$20,983 ","$121,847 "
84,New Milford School District,19.93,"$18,598 ","$93,815 "
85,Avon School District,20.51,"$20,836 ","$123,077 "
86,Trumbull School District,20.99,"$19,486 ","$129,239 "
87,Newington School District,22.13,"$20,724 ","$82,721 "
88,Willington School District,22.7,"$22,833 ","$73,264 "
89,Thompson School District,23.32,"$22,241 ","$75,168 "
90,Hebron School District,23.54,"$20,821 ","$126,045 "
91,Lisbon School District,23.85,"$19,408 ","$86,641 "
92,Ledyard School District,24.09,"$17,982 ","$92,439 "
93,Hartland School District,24.16,"$27,631 ","$97,850 "
94,Montville School District,24.38,"$20,678 ","$80,765 "
95,Rocky Hill School District,24.56,"$19,605 ","$85,123 "
96,Newtown School District,25.13,"$21,422 ","$125,028 "
97,Orange School District,25.27,"$20,398 ","$129,489 "
98,Plymouth School District,25.52,"$20,830 ","$79,029 "
99,Chester School District,25.98,"$30,441 ","$87,717 "
100,Chaplin School District,26.25,"$31,525 ","$83,393 "
101,Simsbury School District,26.36,"$20,801 ","$128,829 "
102,Regional School District 18,26.62,"$26,301 ","$105,833 "
103,Woodstock School District,27.11,"$17,362 ","$92,165 "
104,Stratford School District,27.27,"$19,663 ","$82,286 "
105,Cromwell School District,28.18,"$17,734 ","$89,562 "
106,Ellington School District,28.86,"$17,562 ","$89,645 "
107,Madison School District,29.11,"$23,565 ","$119,777 "
108,Enfield School District,30.09,"$18,801 ","$83,232 "
109,Sterling School District,31.55,"$18,136 ","$84,643 "
110,Middletown School District,34.1,"$22,909 ","$62,022 "
111,Naugatuck School District,35.15,"$18,899 ","$77,967 "
112,Groton School District,35.46,"$20,986 ","$68,849 "
113,Mansfield School District,36.44,"$25,108 ","$50,492 "
114,Thomaston School District,36.68,"$20,192 ","$71,039 "
115,Seymour School District,36.91,"$17,926 ","$80,396 "
116,Regional School District 19,36.92,"$21,576 ","$64,957 "
117,Colebrook School District,38.49,"$31,257 ","$96,250 "
118,Plainville School District,38.66,"$19,987 ","$70,012 "
119,Watertown School District,39.11,"$19,423 ","$71,964 "
120,Regional School District 13,39.52,"$25,686 ","$120,781 "
121,Vernon School District,39.62,"$20,366 ","$67,492 "
122,North Stonington School District,42.05,"$21,124 ","$61,963 "
123,Sprague School District,42.34,"$18,449 ","$72,989 "
124,Fairfield School District,43.58,"$21,986 ","$140,308 "
125,Torrington School District,43.67,"$21,064 ","$60,662 "
126,East Haven School District,44.19,"$19,263 ","$67,773 "
127,Brooklyn School District,44.91,"$17,155 ","$75,993 "
128,Putnam School District,46.1,"$19,647 ","$64,320 "
129,Killingly School District,46.26,"$19,198 ","$66,071 "
130,Norfolk School District,46.61,"$38,082 ","$75,179 "
131,Norwich School District,46.75,"$21,099 ","$57,565 "
132,Derby School District,46.96,"$20,823 ","$58,534 "
133,Canaan School District,46.98,"$39,687 ","$68,750 "
134,Regional School District 05,48.13,"$21,442 ","$146,961 "
135,West Haven School District,48.29,"$19,166 ","$64,255 "
136,Plainfield School District,49.27,"$18,369 ","$66,689 "
137,East Hartford School District,49.46,"$19,920 ","$59,954 "
138,Bristol School District,50.61,"$17,640 ","$68,485 "
139,Bethany School District,51.69,"$21,285 ","$151,034 "
140,Griswold School District,52.56,"$18,648 ","$62,361 "
141,Union School District,54.08,"$38,370 ","$81,111 "
142,Regional School District 12,55.05,"$31,926 ","$109,275 "
143,Danbury School District,56.17,"$15,264 ","$73,204 "
144,Sherman School District,60.09,"$30,369 ","$120,682 "
145,New London School District,62.46,"$19,939 ","$47,424 "
146,Meriden School District,63.31,"$17,133 ","$58,472 "
147,Windham School District,63.98,"$20,663 ","$42,909 "
148,Ridgefield School District,64.58,"$23,828 ","$152,630 "
149,Ansonia School District,66.85,"$17,458 ","$53,709 "
150,Woodbridge School District,67.28,"$20,529 ","$169,155 "
151,Cornwall School District,67.82,"$39,333 ","$90,197 "
152,Easton School District,69.43,"$21,555 ","$166,875 "
153,New Haven School District,69.99,"$18,923 ","$44,507 "
154,Regional School District 09,70,"$26,577 ","$146,200 "
155,Hartford School District,70.45,"$20,796 ","$36,154 "
156,New Britain School District,71.08,"$17,994 ","$47,393 "
157,Redding School District,73.01,"$29,689 ","$135,928 "
158,Waterbury School District,74.45,"$17,481 ","$46,329 "
159,Bridgeport School District,76.62,"$16,717 ","$47,484 "
160,Greenwich School District,90.14,"$26,092 ","$167,537 "
161,New Canaan School District,118.45,"$24,776 ","$200,203 "
162,Wilton School District,120.6,"$24,253 ","$204,473 "
163,Weston School District,129.48,"$25,462 ","$207,863 "
164,Sharon School District,140.89,"$54,146 ","$97,560 "
165,Westport School District,145.54,"$25,668 ","$222,375 "
166,Darien School District,158.68,"$23,586 ","$243,750 "
