studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Achievement First Hartford Academy District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,582
Achievement First Hartford Academy District,,2010-2011,English Language Learner,Student Enrollment,Number,28
Achievement First Hartford Academy District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,711
Achievement First Hartford Academy District,,2011-2012,English Language Learner,Student Enrollment,Number,51
Achievement First Hartford Academy District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,782
Achievement First Hartford Academy District,,2012-2013,English Language Learner,Student Enrollment,Number,42
Achievement First Hartford Academy District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,840
Achievement First Hartford Academy District,,2013-2014,English Language Learner,Student Enrollment,Number,30
Achievement First Hartford Academy District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,899
Achievement First Hartford Academy District,,2014-2015,English Language Learner,Student Enrollment,Number,55
Achievement First Hartford Academy District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1011
Achievement First Hartford Academy District,,2015-2016,English Language Learner,Student Enrollment,Number,52
Achievement First Hartford Academy District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1033
Achievement First Hartford Academy District,,2016-2017,English Language Learner,Student Enrollment,Number,33
Achievement First Hartford Academy District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1104
Achievement First Hartford Academy District,,2017-2018,English Language Learner,Student Enrollment,Number,45
Achievement First Hartford Academy District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1060
Achievement First Hartford Academy District,,2018-2019,English Language Learner,Student Enrollment,Number,52
Achievement First Hartford Academy District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1099
Achievement First Hartford Academy District,,2019-2020,English Language Learner,Student Enrollment,Number,70
Achievement First Hartford Academy District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1094
Achievement First Hartford Academy District,,2020-2021,English Language Learner,Student Enrollment,Number,70
Amistad Academy District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,547
Amistad Academy District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Amistad Academy District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,641
Amistad Academy District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Amistad Academy District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,656
Amistad Academy District,,2009-2010,English Language Learner,Student Enrollment,Number,88
Amistad Academy District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,721
Amistad Academy District,,2010-2011,English Language Learner,Student Enrollment,Number,91
Amistad Academy District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,755
Amistad Academy District,,2011-2012,English Language Learner,Student Enrollment,Number,102
Amistad Academy District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,830
Amistad Academy District,,2012-2013,English Language Learner,Student Enrollment,Number,74
Amistad Academy District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,835
Amistad Academy District,,2013-2014,English Language Learner,Student Enrollment,Number,102
Amistad Academy District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,869
Amistad Academy District,,2014-2015,English Language Learner,Student Enrollment,Number,115
Amistad Academy District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,930
Amistad Academy District,,2015-2016,English Language Learner,Student Enrollment,Number,106
Amistad Academy District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,941
Amistad Academy District,,2016-2017,English Language Learner,Student Enrollment,Number,116
Amistad Academy District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,959
Amistad Academy District,,2017-2018,English Language Learner,Student Enrollment,Number,122
Amistad Academy District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,965
Amistad Academy District,,2018-2019,English Language Learner,Student Enrollment,Number,118
Amistad Academy District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,992
Amistad Academy District,,2019-2020,English Language Learner,Student Enrollment,Number,111
Amistad Academy District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1030
Amistad Academy District,,2020-2021,English Language Learner,Student Enrollment,Number,104
Andover School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,347
Andover School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Andover School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Andover School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Ansonia School District,900901220,2007-2008,Non-English Language Learner,Student Enrollment,Number,2664
Ansonia School District,900901220,2007-2008,English Language Learner,Student Enrollment,Number,79
Ansonia School District,900901220,2008-2009,Non-English Language Learner,Student Enrollment,Number,2649
Ansonia School District,900901220,2008-2009,English Language Learner,Student Enrollment,Number,73
Ansonia School District,900901220,2009-2010,Non-English Language Learner,Student Enrollment,Number,2659
Ansonia School District,900901220,2009-2010,English Language Learner,Student Enrollment,Number,79
Ansonia School District,900901220,2010-2011,Non-English Language Learner,Student Enrollment,Number,2554
Ansonia School District,900901220,2010-2011,English Language Learner,Student Enrollment,Number,73
Ansonia School District,900901220,2011-2012,Non-English Language Learner,Student Enrollment,Number,2449
Ansonia School District,900901220,2011-2012,English Language Learner,Student Enrollment,Number,77
Ansonia School District,900901220,2012-2013,Non-English Language Learner,Student Enrollment,Number,2356
Ansonia School District,900901220,2012-2013,English Language Learner,Student Enrollment,Number,69
Ansonia School District,900901220,2013-2014,Non-English Language Learner,Student Enrollment,Number,2254
Ansonia School District,900901220,2013-2014,English Language Learner,Student Enrollment,Number,84
Ansonia School District,900901220,2014-2015,Non-English Language Learner,Student Enrollment,Number,2343
Ansonia School District,900901220,2014-2015,English Language Learner,Student Enrollment,Number,72
Ansonia School District,900901220,2015-2016,Non-English Language Learner,Student Enrollment,Number,2316
Ansonia School District,900901220,2015-2016,English Language Learner,Student Enrollment,Number,66
Ansonia School District,900901220,2016-2017,Non-English Language Learner,Student Enrollment,Number,2283
Ansonia School District,900901220,2016-2017,English Language Learner,Student Enrollment,Number,81
Ansonia School District,900901220,2017-2018,Non-English Language Learner,Student Enrollment,Number,2214
Ansonia School District,900901220,2017-2018,English Language Learner,Student Enrollment,Number,90
Ansonia School District,900901220,2018-2019,Non-English Language Learner,Student Enrollment,Number,2220
Ansonia School District,900901220,2018-2019,English Language Learner,Student Enrollment,Number,104
Ansonia School District,900901220,2019-2020,Non-English Language Learner,Student Enrollment,Number,2169
Ansonia School District,900901220,2019-2020,English Language Learner,Student Enrollment,Number,115
Ansonia School District,900901220,2020-2021,Non-English Language Learner,Student Enrollment,Number,2112
Ansonia School District,900901220,2020-2021,English Language Learner,Student Enrollment,Number,126
Area Cooperative Educational Services,,2007-2008,Non-English Language Learner,Student Enrollment,Number,2059
Area Cooperative Educational Services,,2007-2008,English Language Learner,Student Enrollment,Number,39
Area Cooperative Educational Services,,2008-2009,Non-English Language Learner,Student Enrollment,Number,2050
Area Cooperative Educational Services,,2008-2009,English Language Learner,Student Enrollment,Number,48
Area Cooperative Educational Services,,2009-2010,Non-English Language Learner,Student Enrollment,Number,2031
Area Cooperative Educational Services,,2009-2010,English Language Learner,Student Enrollment,Number,45
Area Cooperative Educational Services,,2010-2011,Non-English Language Learner,Student Enrollment,Number,1944
Area Cooperative Educational Services,,2010-2011,English Language Learner,Student Enrollment,Number,47
Area Cooperative Educational Services,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1914
Area Cooperative Educational Services,,2011-2012,English Language Learner,Student Enrollment,Number,41
Area Cooperative Educational Services,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1890
Area Cooperative Educational Services,,2012-2013,English Language Learner,Student Enrollment,Number,42
Area Cooperative Educational Services,,2013-2014,Non-English Language Learner,Student Enrollment,Number,1887
Area Cooperative Educational Services,,2013-2014,English Language Learner,Student Enrollment,Number,46
Area Cooperative Educational Services,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1883
Area Cooperative Educational Services,,2014-2015,English Language Learner,Student Enrollment,Number,56
Area Cooperative Educational Services,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1894
Area Cooperative Educational Services,,2015-2016,English Language Learner,Student Enrollment,Number,54
Area Cooperative Educational Services,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1901
Area Cooperative Educational Services,,2016-2017,English Language Learner,Student Enrollment,Number,46
Area Cooperative Educational Services,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1892
Area Cooperative Educational Services,,2017-2018,English Language Learner,Student Enrollment,Number,50
Area Cooperative Educational Services,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1784
Area Cooperative Educational Services,,2018-2019,English Language Learner,Student Enrollment,Number,90
Area Cooperative Educational Services,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1708
Area Cooperative Educational Services,,2019-2020,English Language Learner,Student Enrollment,Number,128
Area Cooperative Educational Services,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1680
Area Cooperative Educational Services,,2020-2021,English Language Learner,Student Enrollment,Number,146
Ashford School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,480
Ashford School District,,2008-2009,English Language Learner,Student Enrollment,Number,8
Ashford School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,468
Ashford School District,,2009-2010,English Language Learner,Student Enrollment,Number,10
Ashford School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,470
Ashford School District,,2010-2011,English Language Learner,Student Enrollment,Number,9
Ashford School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,473
Ashford School District,,2011-2012,English Language Learner,Student Enrollment,Number,8
Ashford School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,433
Ashford School District,,2012-2013,English Language Learner,Student Enrollment,Number,7
Ashford School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,418
Ashford School District,,2013-2014,English Language Learner,Student Enrollment,Number,6
Ashford School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,410
Ashford School District,,2014-2015,English Language Learner,Student Enrollment,Number,7
Ashford School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Ashford School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,401
Ashford School District,,2018-2019,English Language Learner,Student Enrollment,Number,9
Ashford School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,384
Ashford School District,,2019-2020,English Language Learner,Student Enrollment,Number,6
Ashford School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,364
Ashford School District,,2020-2021,English Language Learner,Student Enrollment,Number,6
Avon School District,900302060,2007-2008,Non-English Language Learner,Student Enrollment,Number,3563
Avon School District,900302060,2007-2008,English Language Learner,Student Enrollment,Number,49
Avon School District,900302060,2008-2009,Non-English Language Learner,Student Enrollment,Number,3525
Avon School District,900302060,2008-2009,English Language Learner,Student Enrollment,Number,44
Avon School District,900302060,2009-2010,Non-English Language Learner,Student Enrollment,Number,3549
Avon School District,900302060,2009-2010,English Language Learner,Student Enrollment,Number,49
Avon School District,900302060,2010-2011,Non-English Language Learner,Student Enrollment,Number,3511
Avon School District,900302060,2010-2011,English Language Learner,Student Enrollment,Number,53
Avon School District,900302060,2011-2012,Non-English Language Learner,Student Enrollment,Number,3458
Avon School District,900302060,2011-2012,English Language Learner,Student Enrollment,Number,60
Avon School District,900302060,2012-2013,Non-English Language Learner,Student Enrollment,Number,3364
Avon School District,900302060,2012-2013,English Language Learner,Student Enrollment,Number,57
Avon School District,900302060,2013-2014,Non-English Language Learner,Student Enrollment,Number,3341
Avon School District,900302060,2013-2014,English Language Learner,Student Enrollment,Number,46
Avon School District,900302060,2014-2015,Non-English Language Learner,Student Enrollment,Number,3255
Avon School District,900302060,2014-2015,English Language Learner,Student Enrollment,Number,77
Avon School District,900302060,2015-2016,Non-English Language Learner,Student Enrollment,Number,3182
Avon School District,900302060,2015-2016,English Language Learner,Student Enrollment,Number,103
Avon School District,900302060,2016-2017,Non-English Language Learner,Student Enrollment,Number,3193
Avon School District,900302060,2016-2017,English Language Learner,Student Enrollment,Number,95
Avon School District,900302060,2017-2018,Non-English Language Learner,Student Enrollment,Number,3138
Avon School District,900302060,2017-2018,English Language Learner,Student Enrollment,Number,83
Avon School District,900302060,2018-2019,Non-English Language Learner,Student Enrollment,Number,3042
Avon School District,900302060,2018-2019,English Language Learner,Student Enrollment,Number,110
Avon School District,900302060,2019-2020,Non-English Language Learner,Student Enrollment,Number,3089
Avon School District,900302060,2019-2020,English Language Learner,Student Enrollment,Number,96
Avon School District,900302060,2020-2021,Non-English Language Learner,Student Enrollment,Number,3033
Avon School District,900302060,2020-2021,English Language Learner,Student Enrollment,Number,95
Barkhamsted School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,317
Barkhamsted School District,,2014-2015,English Language Learner,Student Enrollment,Number,0
Barkhamsted School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,286
Barkhamsted School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Barkhamsted School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,255
Barkhamsted School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Barkhamsted School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,248
Barkhamsted School District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Barkhamsted School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Barkhamsted School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,219
Barkhamsted School District,,2019-2020,English Language Learner,Student Enrollment,Number,0
Barkhamsted School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,203
Barkhamsted School District,,2020-2021,English Language Learner,Student Enrollment,Number,0
Berlin School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,3199
Berlin School District,,2007-2008,English Language Learner,Student Enrollment,Number,76
Berlin School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,3144
Berlin School District,,2008-2009,English Language Learner,Student Enrollment,Number,79
Berlin School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,3107
Berlin School District,,2009-2010,English Language Learner,Student Enrollment,Number,62
Berlin School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,3062
Berlin School District,,2010-2011,English Language Learner,Student Enrollment,Number,67
Berlin School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,2954
Berlin School District,,2011-2012,English Language Learner,Student Enrollment,Number,73
Berlin School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,2914
Berlin School District,,2012-2013,English Language Learner,Student Enrollment,Number,71
Berlin School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,2889
Berlin School District,,2013-2014,English Language Learner,Student Enrollment,Number,74
Berlin School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,2842
Berlin School District,,2014-2015,English Language Learner,Student Enrollment,Number,67
Berlin School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,2814
Berlin School District,,2015-2016,English Language Learner,Student Enrollment,Number,65
Berlin School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,2729
Berlin School District,,2016-2017,English Language Learner,Student Enrollment,Number,76
Berlin School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,2718
Berlin School District,,2017-2018,English Language Learner,Student Enrollment,Number,77
Berlin School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,2722
Berlin School District,,2018-2019,English Language Learner,Student Enrollment,Number,81
Berlin School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,2662
Berlin School District,,2019-2020,English Language Learner,Student Enrollment,Number,93
Berlin School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,2614
Berlin School District,,2020-2021,English Language Learner,Student Enrollment,Number,101
Bethany School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,570
Bethany School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Bethany School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,551
Bethany School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Bethany School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,516
Bethany School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Bethany School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,473
Bethany School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Bethany School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,436
Bethany School District,,2013-2014,English Language Learner,Student Enrollment,Number,0
Bethany School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Bethany School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,355
Bethany School District,,2017-2018,English Language Learner,Student Enrollment,Number,10
Bethany School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,357
Bethany School District,,2018-2019,English Language Learner,Student Enrollment,Number,9
Bethany School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,357
Bethany School District,,2019-2020,English Language Learner,Student Enrollment,Number,13
Bethany School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,358
Bethany School District,,2020-2021,English Language Learner,Student Enrollment,Number,12
Bethel School District,900104720,2007-2008,Non-English Language Learner,Student Enrollment,Number,3039
Bethel School District,900104720,2007-2008,English Language Learner,Student Enrollment,Number,118
Bethel School District,900104720,2008-2009,Non-English Language Learner,Student Enrollment,Number,2989
Bethel School District,900104720,2008-2009,English Language Learner,Student Enrollment,Number,98
Bethel School District,900104720,2009-2010,Non-English Language Learner,Student Enrollment,Number,2958
Bethel School District,900104720,2009-2010,English Language Learner,Student Enrollment,Number,95
Bethel School District,900104720,2010-2011,Non-English Language Learner,Student Enrollment,Number,2877
Bethel School District,900104720,2010-2011,English Language Learner,Student Enrollment,Number,72
Bethel School District,900104720,2011-2012,Non-English Language Learner,Student Enrollment,Number,2902
Bethel School District,900104720,2011-2012,English Language Learner,Student Enrollment,Number,80
Bethel School District,900104720,2012-2013,Non-English Language Learner,Student Enrollment,Number,2907
Bethel School District,900104720,2012-2013,English Language Learner,Student Enrollment,Number,80
Bethel School District,900104720,2013-2014,Non-English Language Learner,Student Enrollment,Number,2927
Bethel School District,900104720,2013-2014,English Language Learner,Student Enrollment,Number,73
Bethel School District,900104720,2014-2015,Non-English Language Learner,Student Enrollment,Number,2848
Bethel School District,900104720,2014-2015,English Language Learner,Student Enrollment,Number,91
Bethel School District,900104720,2015-2016,Non-English Language Learner,Student Enrollment,Number,2863
Bethel School District,900104720,2015-2016,English Language Learner,Student Enrollment,Number,108
Bethel School District,900104720,2016-2017,Non-English Language Learner,Student Enrollment,Number,2870
Bethel School District,900104720,2016-2017,English Language Learner,Student Enrollment,Number,126
Bethel School District,900104720,2017-2018,Non-English Language Learner,Student Enrollment,Number,2905
Bethel School District,900104720,2017-2018,English Language Learner,Student Enrollment,Number,154
Bethel School District,900104720,2018-2019,Non-English Language Learner,Student Enrollment,Number,2925
Bethel School District,900104720,2018-2019,English Language Learner,Student Enrollment,Number,187
Bethel School District,900104720,2019-2020,Non-English Language Learner,Student Enrollment,Number,2941
Bethel School District,900104720,2019-2020,English Language Learner,Student Enrollment,Number,207
Bethel School District,900104720,2020-2021,Non-English Language Learner,Student Enrollment,Number,2907
Bethel School District,900104720,2020-2021,English Language Learner,Student Enrollment,Number,182
Bloomfield School District,900305910,2007-2008,Non-English Language Learner,Student Enrollment,Number,2231
Bloomfield School District,900305910,2007-2008,English Language Learner,Student Enrollment,Number,9
Bloomfield School District,900305910,2008-2009,Non-English Language Learner,Student Enrollment,Number,2172
Bloomfield School District,900305910,2008-2009,English Language Learner,Student Enrollment,Number,9
Bloomfield School District,900305910,2009-2010,Non-English Language Learner,Student Enrollment,Number,2281
Bloomfield School District,900305910,2009-2010,English Language Learner,Student Enrollment,Number,17
Bloomfield School District,900305910,2010-2011,Non-English Language Learner,Student Enrollment,Number,2169
Bloomfield School District,900305910,2010-2011,English Language Learner,Student Enrollment,Number,38
Bloomfield School District,900305910,2011-2012,Non-English Language Learner,Student Enrollment,Number,2127
Bloomfield School District,900305910,2011-2012,English Language Learner,Student Enrollment,Number,37
Bloomfield School District,900305910,2012-2013,Non-English Language Learner,Student Enrollment,Number,2094
Bloomfield School District,900305910,2012-2013,English Language Learner,Student Enrollment,Number,25
Bloomfield School District,900305910,2013-2014,Non-English Language Learner,Student Enrollment,Number,2067
Bloomfield School District,900305910,2013-2014,English Language Learner,Student Enrollment,Number,29
Bloomfield School District,900305910,2014-2015,Non-English Language Learner,Student Enrollment,Number,2079
Bloomfield School District,900305910,2014-2015,English Language Learner,Student Enrollment,Number,36
Bloomfield School District,900305910,2015-2016,Non-English Language Learner,Student Enrollment,Number,2050
Bloomfield School District,900305910,2015-2016,English Language Learner,Student Enrollment,Number,28
Bloomfield School District,900305910,2016-2017,Non-English Language Learner,Student Enrollment,Number,2125
